audio,transcription,transcription_mfa
karuk-2012-10-20-vs-4_B_24,tithitiv um?,tithitiv um
karuk-2012-10-20-vs-4_B_25,ti'aapunma hum?,tiqaapunma hum
karuk-2012-10-20-vs-4_B_26,i'aapunmuti hum vura nik?,iqaapunmuti hum vura nik
karuk-2012-10-20-vs-4_B_27,naa ni'aapunmutih.,naa niqaapunmutih
karuk-2012-10-20-vs-4_B_28,ni'aapunmuti vura.,niqaapunmuti vura
karuk-2012-10-20-vs-4_B_29,puna'aapunmutihara.,punaqaapunmutihara
karuk-2012-10-20-vs-4_B_30,man'ata.,manqata
karuk-2012-10-20-vs-4_B_31,kukuum nipeesh.,kukuum nipeesh
karuk-2012-10-20-vs-4_B_32,pay kich kukuum nipeesh.,pay kich kukuum nipeesh
karuk-2012-10-20-vs-4_B_33,kukuum piipi.,kukuum piipi
karuk-2012-10-20-vs-4_B_34,pay kich piipi.,pay kich piipi
karuk-2012-10-20-vs-4_B_35,tipipshiinvarihva hum?,tipipshiinvarihva hum
karuk-2012-10-20-vs-4_B_36,huut iim mithvuy?,huut iim mithvuy
karuk-2012-10-20-vs-4_B_37,huut iim ithvuuytih?,huut iim ithvuuytih
karuk-2012-10-20-vs-4_B_38,kacha'iich vura chuuphi.,kachaqiich vura chuuphi
karuk-2012-10-20-vs-4_C_01,chaka'iimich vura chuuphi.,chakaqiimich vura chuuphi
karuk-2012-10-20-vs-4_C_02,puun nivishtaantih.,puun nivishtaantih
karuk-2012-10-20-vs-4_C_03,ikiich tee xuriha.,ikiich tee xuriha
karuk-2012-10-20-vs-4_C_04,faat iim i'aveesh?,faat iim iqaveesh
karuk-2012-10-20-vs-4_C_05,naa sara ni'aveesh.,naa sara niqaveesh
karuk-2012-10-20-vs-4_C_06,putiruh karu ni'aveesh.,putiruh karu niqaveesh
karuk-2012-10-20-vs-4_C_07,koovura vura miputiruh nithafipeesh.,koovura vura miputiruh nithafipeesh
karuk-2012-10-20-vs-4_C_08,faat koovura panu'aveesh?,faat koovura panuqaveesh
karuk-2012-10-20-vs-4_C_09,faat koovura nu'aveesh?,faat koovura nuqaveesh
karuk-2012-10-20-vs-4_C_10,faat nu'aveesh?,faat nuqaveesh
karuk-2012-10-20-vs-4_C_11,taak payufish.,taak payufish
karuk-2012-10-20-vs-4_C_12,taak pasikih.,taak pasikih
karuk-2012-10-20-vs-4_C_13,pasikih na'eehi.,pasikih naqeehi
karuk-2012-10-20-vs-4_C_14,neektavihi.,neektavihi
karuk-2012-10-20-vs-4_C_15,ta naxuriha.,ta naxuriha
karuk-2012-10-20-vs-4_C_16,punaxurihitihara.,punaxurihitihara
karuk-2012-10-20-vs-4_C_17,ishaha ta neexrah.,ishaha ta neexrah
karuk-2012-10-20-vs-4_C_18,iim tee xrah?,iim tee xrah
karuk-2012-10-20-vs-4_C_19,iimkun ta kuxrah?,iimkun ta kuxrah
karuk-2012-10-20-vs-4_C_20,naa vura ta nayaavaha.,naa vura ta nayaavaha
karuk-2012-10-20-vs-4_C_21,ta neekvurishrih.,ta neekvurishrih
karuk-2012-10-20-vs-4_C_22,ta neekfuuyshur.,ta neekfuuyshur
karuk-2012-10-20-vs-4_C_23,faat uum pay?,faat uum pay
karuk-2012-10-20-vs-4_C_24,faat uum vaa?,faat uum vaa
karuk-2012-10-20-vs-4_C_25,faat kook?,faat kook
karuk-2012-10-20-vs-4_C_26,cheemyaach.,cheemyaach
karuk-2012-10-20-vs-4_C_27,ni'ahoovish.,niqahoovish
karuk-2012-10-20-vs-4_C_28,ook naa.,ook naa
karuk-2012-10-20-vs-4_C_29,chimi choora.,chimi choora
karuk-2012-10-20-vs-4_C_30,choora.,choora
karuk-2012-10-20-vs-4_C_31,koovura nuvyiihshipreevish.,koovura nuvyiihshipreevish
karuk-2012-10-20-vs-4_C_32,nukookaneesh.,nukookaneesh
karuk-2012-10-20-vs-4_C_33,chuvaarap.,chuvaarap
karuk-2012-10-20-vs-4_C_34,xayfaat ichuuphitih!,xayfaat ichuuphitih
karuk-2012-10-20-vs-4_C_35,xayfaat kuchuuphinaatih!,xayfaat kuchuuphinaatih
karuk-2012-10-20-vs-4_C_36,xayfaat taay ik papay i'iinatih!,xayfaat taay ik papay iqiinatih
karuk-2012-10-20-vs-4_C_37,ka'iruu!,kaqiruu
karuk-2012-10-20-vs-4_C_38,pay'ook ikriish!,payqook ikriish
karuk-2012-10-20-vs-4_C_39,ihyarihship!,ihyarihship
karuk-2012-10-20-vs-4_C_40,voonfuruk.,voonfuruk
karuk-2012-10-20-vs-4_C_41,chimi kiivyiihfuruk.,chimi kiivyiihfuruk
karuk-2012-10-20-vs-4_C_42,iikam voonupuk.,iikam voonupuk
karuk-2012-10-20-vs-4_C_43,ahup ikyav.,ahup ikyav
karuk-2012-10-20-vs-4_C_44,ahup kiikyav.,ahup kiikyav
karuk-2012-10-20-vs-4_C_45,ahup kiikyaavunaa.,ahup kiikyaavunaa
karuk-2012-10-20-vs-4_C_46,niyuuhveesh.,niyuuhveesh
karuk-2012-10-20-vs-4_C_47,iim karu.,iim karu
karuk-2012-10-20-vs-4_C_48,iimkun karu.,iimkun karu
karuk-2012-10-20-vs-4_D_01,,
karuk-2012-10-20-vs-4_D_02,mah'iitnihich.,mahqiitnihich
karuk-2012-10-20-vs-4_D_03,payeem uum mah'iitnihich.,payeem uum mahqiitnihich
karuk-2012-10-20-vs-4_D_04,,
karuk-2012-10-20-vs-4_D_05,ta mah'iit.,ta mahqiit
karuk-2012-10-20-vs-4_D_06,chimi ikfuuksip payeem.,chimi ikfuuksip payeem
karuk-2012-10-20-vs-4_D_07,ta kari chimi ikfuuksip.,ta kari chimi ikfuuksip
karuk-2012-10-20-vs-4_D_08,ta kari.,ta kari
karuk-2012-10-20-vs-4_D_09,cheech kiikarihi!,cheech kiikarihi
karuk-2012-10-20-vs-4_D_10,chimi kiikarihi!,chimi kiikarihi
karuk-2012-10-20-vs-4_D_11,iim tee kariha?,iim tee kariha
karuk-2012-10-20-vs-4_D_12,iim tee kariha hum?,iim tee kariha hum
karuk-2012-10-20-vs-4_D_13,titxaarihva hum?,titxaarihva hum
karuk-2012-10-20-vs-4_D_14,tikariha hum?,tikariha hum
karuk-2012-10-20-vs-4_D_15,tusupaaha.,tusupaaha
karuk-2012-10-20-vs-4_D_16,aav paatvi!,aav paatvi
karuk-2012-10-20-vs-4_D_17,chimi koovura aav kiikpaatvi!,chimi koovura aav kiikpaatvi
karuk-2012-10-20-vs-4_D_18,iptaxatihi!,iptaxatihi
karuk-2012-10-20-vs-4_D_19,koovura kiiptaxatihi!,koovura kiiptaxatihi
karuk-2012-10-20-vs-4_D_20,pamivu pithxahi!,pamivu pithxahi
karuk-2012-10-20-vs-4_D_21,koovura pamikunvu kiikpithxahi!,koovura pamikunvu kiikpithxahi
karuk-2012-10-20-vs-4_D_22,ta avahiv.,ta avahiv
karuk-2012-10-20-vs-4_D_23,iimkun ta kuxuriha?,iimkun ta kuxuriha
karuk-2012-10-20-vs-4_D_24,ta kuxuriha hum?,ta kuxuriha hum
karuk-2012-10-20-vs-4_D_25,tee xuriha hum?,tee xuriha hum
karuk-2012-10-20-vs-4_D_26,faat iim i'aveesh?,faat iim iqaveesh
karuk-2012-10-20-vs-4_D_27,faat iimkun ku'aveesh?,faat iimkun kuqaveesh
karuk-2012-10-20-vs-4_D_28,faat uum koovura nu'aveesh?,faat uum koovura nuqaveesh
karuk-2012-10-20-vs-4_D_29,,
karuk-2012-10-20-vs-4_D_30,faat nu'amvunaavish?,faat nuqamvunaavish
karuk-2012-10-20-vs-4_D_31,chimi nu'am!,chimi nuqam
karuk-2012-10-20-vs-4_D_32,chimi ta avahiv!,chimi ta avahiv
karuk-2012-10-20-vs-4_D_33,taay vura na'akihi!,taay vura naqakihi
karuk-2012-10-20-vs-4_D_34,kukuum taay vura na'akihi!,kukuum taay vura naqakihi
karuk-2012-10-20-vs-4_D_35,tee kvurishrih hum?,tee kvurishrih hum
karuk-2012-10-20-vs-4_D_36,naa vura ta neekvurishrih.,naa vura ta neekvurishrih
karuk-2012-10-20-vs-4_D_37,ipuunveesh hum?,ipuunveesh hum
karuk-2012-10-20-vs-4_D_38,nipuunveesh.,nipuunveesh
karuk-2012-10-20-vs-4_D_39,nipuunveesh vura.,nipuunveesh vura
karuk-2012-10-20-vs-4_D_40,iim karu.,iim karu
karuk-2012-10-20-vs-4_D_41,chimi nupuunvi!,chimi nupuunvi
karuk-2012-10-20-vs-4_D_42,chi nupuunvi!,chi nupuunvi
karuk-2012-10-20-vs-4_D_43,ta neekviit-ha.,ta neekviitha
karuk-2012-10-20-vs-4_D_44,iimkun kiikviit-hinaa!,iimkun kiikviithinaa
karuk-2012-10-20-vs-4_D_45,ipyukukuhi pamiyukukuh!,ipyukukuhi pamiyukukuh
karuk-2012-10-20-vs-4_D_46,kiipyukukuhi!,kiipyukukuhi
karuk-2012-10-20-vs-4_D_47,"kiipyukukuhi pamiyukukuh, Andrew karu Line!",kiipyukukuhi pamiyukukuh Andrew karu Line
karuk-2012-10-20-vs-4_D_48,iimkun kiipiyukukuhsuroo!,iimkun kiipiyukukuhsuroo
karuk-2012-10-20-vs-4_D_49,kiipiyukukuhsuroo!,kiipiyukukuhsuroo
karuk-2012-10-20-vs-4_D_50,kiikpishnakarishukva pamikunsaanva!,kiikpishnakarishukva pamikunsaanva
karuk-2012-10-20-vs-4_D_51,,
karuk-2012-10-20-vs-4_D_52,kiikviit-hinaa!,kiikviithinaa
karuk-2013-10-27-vs-2_01,uhyanavaraar muuk nuchuupheesh.,uhyanavaraar muuk nuchuupheesh
karuk-2013-10-27-vs-2_02,xayfaat uhyanavaraar muuk nuchuupha!,xayfaat uhyanavaraar muuk nuchuupha
karuk-2013-10-27-vs-2_03,harivari nachuphuunisheesh?,harivari nachuphuunisheesh
karuk-2013-10-27-vs-2_04,ikiich uhyanavaraar muuk nuchuupheesh.,ikiich uhyanavaraar muuk nuchuupheesh
karuk-2013-10-27-vs-2_05,papakiihar karu nikiiheesh.,papakiihar karu nikiiheesh
karuk-2013-10-27-vs-2_06,kiiha pachivchakar!,kiiha pachivchakar
karuk-2013-10-27-vs-2_07,nishxaareesh.,nishxaareesh
karuk-2013-10-27-vs-2_08,xayfaat ishxaar!,xayfaat ishxaar
karuk-2013-10-27-vs-2_09,hooy pamiishxaar?,hooy pamiishxaar
karuk-2013-10-27-vs-2_10,nishxaareesh pananiishxaar.,nishxaareesh pananiishxaar
karuk-2013-10-27-vs-2_11,pananiishxaar nishxaareesh payeem.,pananiishxaar nishxaareesh payeem
karuk-2013-10-27-vs-2_12,peekrupkaanvar nihruuvti pa'as vaa nishxaareesh.,peekrupkaanvar nihruuvti paqas vaa nishxaareesh
karuk-2013-10-27-vs-2_13,nikmarakuriheeshva.,nikmarakuriheeshva
karuk-2013-10-27-vs-2_14,pananisaanva nipithxaheesh.,pananisaanva nipithxaheesh
karuk-2013-10-27-vs-2_15,soap muuk nipithxaheesh.,soap muuk nipithxaheesh
karuk-2013-10-27-vs-2_16,akaay tu'ahoo?,akaay tuqahoo
karuk-2013-10-27-vs-2_17,nitatuyshureesh pa'iirish.,nitatuyshureesh paqiirish
karuk-2013-10-27-vs-2_18,pimustihvaanar nimuustiheesh naa.,pimustihvaanar nimuustiheesh naa
karuk-2013-10-27-vs-2_19,ishahak nimuustiheesh naa.,ishahak nimuustiheesh naa
karuk-2013-10-27-vs-2_20,pa'ishahak nimuustiheesh vaa kaan.,paqishahak nimuustiheesh vaa kaan
karuk-2013-10-27-vs-2_21,pimustihvaanar muuk nimuustiheesh naa.,pimustihvaanar muuk nimuustiheesh naa
karuk-2013-10-27-vs-2_22,pananivuh nipithxaheesh.,pananivuh nipithxaheesh
karuk-2013-10-27-vs-2_23,vuhapithxahar muuk nipithxaheesh pananivuh.,vuhapithxahar muuk nipithxaheesh pananivuh
karuk-2013-10-27-vs-2_24,ahup muuk nipithxaheesh pananivuh.,ahup muuk nipithxaheesh pananivuh
karuk-2013-10-27-vs-2_25,yufish karu ni'ihroovish vaa paninivuh nipithxaheesh.,yufish karu niqihroovish vaa paninivuh nipithxaheesh
karuk-2013-10-27-vs-2_26,yufish ni'ihroovish vaa karu nipithxaheesh pananivuh.,yufish niqihroovish vaa karu nipithxaheesh pananivuh
karuk-2013-10-27-vs-2_27,vaa kaan ni'iripeesh.,vaa kaan niqiripeesh
karuk-2013-10-27-vs-2_28,iikam vaa kaan ni'iripeesh.,iikam vaa kaan niqiripeesh
karuk-2013-10-27-vs-2_29,tanukyaanar muuk ni'iripeesh.,tanukyaanar muuk niqiripeesh
karuk-2013-10-27-vs-2_30,ikrivraam nikyaat.,ikrivraam nikyaat
karuk-2013-10-27-vs-2_31,ahup muuk nikyaat pa'ikrivraam.,ahup muuk nikyaat paqikrivraam
karuk-2013-10-27-vs-2_32,ahup muuk nikyaakoopa patas.,ahup muuk nikyaakoopa patas
karuk-2013-10-27-vs-2_33,ta nipikyaar patas.,ta nipikyaar patas
karuk-2013-10-27-vs-2_34,ta nipikyaar pananichuupha.,ta nipikyaar pananichuupha
karuk-2013-10-27-vs-2_35,ta nipikyaar pananipithxa pananisaanva.,ta nipikyaar pananipithxa pananisaanva
karuk-2013-10-27-vs-2_36,panishxaaytih ta nipikyaar.,panishxaaytih ta nipikyaar
karuk-2015-04-21-vs-5_01,axak pananifyiivshas karu avansa karu muhrooha.,axak pananifyiivshas karu avansa karu muhrooha
karuk-2015-04-21-vs-5_02,xas vaa ta nu'akunvar.,xas vaa ta nuqakunvar
karuk-2015-04-21-vs-5_03,"xas vaa ta nu'akunvar papuufich, impaah.",xas vaa ta nuqakunvar papuufich impaah
karuk-2015-04-21-vs-5_04,xas vaa pa'avansa ukuniihka papuufich.,xas vaa paqavansa ukuniihka papuufich
karuk-2015-04-21-vs-5_05,xas vura yiiv saruk.,xas vura yiiv saruk
karuk-2015-04-21-vs-5_06,"xas uxuti kunish yiim niinamich papuufich, xas poo'uum xas vura uum pufichkaam.",xas uxuti kunish yiim niinamich papuufich xas pooquum xas vura uum pufichkaam
karuk-2015-04-21-vs-5_07,"xas vura uum vaa kaan xas uupiipha vura uum keech papuufich uum, vura uum maath.",xas vura uum vaa kaan xas uupiipha vura uum keech papuufich uum vura uum maath
karuk-2015-04-21-vs-5_08,"xas vura vaa maruk, u'ahoo.",xas vura vaa maruk uqahoo
karuk-2015-04-21-vs-5_09,xas vaa kaan tuvupaksuroo.,xas vaa kaan tuvupaksuroo
karuk-2015-04-21-vs-5_10a,,
karuk-2015-04-21-vs-5_10b,xas vaa kaan tuvupaksur.,xas vaa kaan tuvupaksur
karuk-2015-04-21-vs-5_11,xas vaa vura uum keech karu.,xas vaa vura uum keech karu
karuk-2015-04-21-vs-5_12,uxuti niinamich papuufich karu uum vura yiiv saruk xas.,uxuti niinamich papuufich karu uum vura yiiv saruk xas
karuk-2015-04-21-vs-5_13,vaa vura uum yiiv xas vaa vura uxuti ikiich punakuniihkeeshara xas vura vaa ukuniihka.,vaa vura uum yiiv xas vaa vura uxuti ikiich punakuniihkeeshara xas vura vaa ukuniihka
karuk-2015-04-21-vs-5_14,"xas upiip "" Gotthedeer.""",xas upiip Gotthedeer
karuk-2015-04-21-vs-5_15,xas vura vaa saruk ukfukuraa.,xas vura vaa saruk ukfukuraa
karuk-2015-04-21-vs-5_16,xas vaa ukuniihkat papuufich.,xas vaa ukuniihkat papuufich
karuk-2015-04-21-vs-5_17,"xas upiip, "" vura uum maath."" Heavy.",xas upiip vura uum maath Heavy
karuk-2015-04-21-vs-5_18,"Youknow, xas vaa ip maath poo'ahoo.",Youknow xas vaa ip maath pooqahoo
karuk-2015-04-21-vs-5_19,xas vura vaa keech papuufich.,xas vura vaa keech papuufich
karuk-2015-04-21-vs-5_20,xas upiip chimi kaan vaa saruk ta nivaaram xas vura ni'ipakeesh vaa papuufich.,xas upiip chimi kaan vaa saruk ta nivaaram xas vura niqipakeesh vaa papuufich
karuk-2015-04-21-vs-5_21,,
karuk-2015-04-21-vs-5_21a, vura uum keech papuufich.,vura uum keech papuufich
karuk-2015-04-21-vs-5_21b,"xas vura maath karu, upiip.",xas vura maath karu upiip
karuk-2015-04-21-vs-5_21c,vaa pa'avansa upiip.,vaa paqavansa upiip
karuk-2015-04-21-vs-5_22,"oo, vura uum taay vura uum pa'asiktavaansa lotsofwomen,youknow,upthereinthereservation.",oo vura uum taay vura uum paqasiktavaansa lotsofwomenyouknowupthereinthereservation
karuk-2015-04-21-vs-5_23,xas vura uum vaa koovura ta kunyootva.,xas vura uum vaa koovura ta kunyootva
karuk-2015-04-21-vs-5_24,papuufich ta kun'aveesh.,papuufich ta kunqaveesh
karuk-2015-04-21-vs-5_25,"vaa vura punapipshinvarihvutihara, vaa vura ni'aapunmuti payeem.",vaa vura punapipshinvarihvutihara vaa vura niqaapunmuti payeem
karuk-2015-04-21-vs-5_26,vaa vura vaa itihaan vura vaa u'akunvuti karu.,vaa vura vaa itihaan vura vaa uqakunvuti karu
karuk-2015-04-21-vs-5_27,taay pamuchishiih karu.,taay pamuchishiih karu
karuk-2015-04-21-vs-5_28,asakaamsa kaan xas vaa a' ta nukfukuraa.,asakaamsa kaan xas vaa aq ta nukfukuraa
karuk-2015-04-21-vs-5_29,"yeah, nusxay, nusxayvunaa.",yeah nusxay nusxayvunaa
VS-23_01,pi'eep nanitaat musara too kyav.,piqeep nanitaat musara too kyav
VS-23_02,vura xara xas vura tu'if.,vura xara xas vura tuqif
VS-23_03,"mah'iit tu'if, xas vura too kyav saraxutnahich.",mahqiit tuqif xas vura too kyav saraxutnahich
VS-23_04,Biscuits karu too kyav.,Biscuits karu too kyav
VS-24_01,vaa pananitaat uum tupithxah pananusaanva koovura vura.,vaa pananitaat uum tupithxah pananusaanva koovura vura
VS-24_02,pananitaat vura koovura upithxah.,pananitaat vura koovura upithxah
VS-24_03,tupithxah pakoovura pananusaanva koovura.,tupithxah pakoovura pananusaanva koovura
VS-24_04,"vaa, xas vura vaa uum vura uum cheemyaach, karu uum vura vaa pu'aapunmutihara faat uum pawashingmachine.",vaa xas vura vaa uum vura uum cheemyaach karu uum vura vaa puqaapunmutihara faat uum pawashingmachine
VS-24_05,vaa kaan tupithxah.,vaa kaan tupithxah
VS-24_06,"haa, haari upathriihti karu.",haa haari upathriihti karu
VS-24_07,xas karu nuu aah nukyaati iikam.,xas karu nuu aah nukyaati iikam
VS-24_08,xas vaa kaan keechas vura paramva pa'ishaha.,xas vaa kaan keechas vura paramva paqishaha
VS-24_09,iparamva pa'ishaha vaa kaan.,iparamva paqishaha vaa kaan
VS-24_10,"oo, vura uum ikyaakaam.",oo vura uum ikyaakaam
VS-24_11,vaa vura ip pa'aapunmuti vaa vura kich vaa kumeekrii.,vaa vura ip paqaapunmuti vaa vura kich vaa kumeekrii
VS-24_12,"haa, vaa vura kich i'aapunmuti vaa kumeekrii.",haa vaa vura kich iqaapunmuti vaa kumeekrii
karuk-2012-03-30-vs-3_01,axak pamupixuumvar.,axak pamupixuumvar
karuk-2012-03-30-vs-3_02,iim pufaat mitikakvanaach.,iim pufaat mitikakvanaach
karuk-2012-03-30-vs-3_03,pufaat uum mi'avan.,pufaat uum miqavan
karuk-2012-03-30-vs-3_04,pufaat mutikakvanaach.,pufaat mutikakvanaach
karuk-2012-03-30-vs-3_05,"Kayla muteenva, yaamachich karu.",Kayla muteenva yaamachich karu
karuk-2012-03-30-vs-3_06,Kayla muteenva karu yaamachich.,Kayla muteenva karu yaamachich
karuk-2012-03-30-vs-3_07,nanifyiiv ukyaat.,nanifyiiv ukyaat
karuk-2012-03-30-vs-3_08,yav pamifyiiv.,yav pamifyiiv
karuk-2012-03-30-vs-3_09,ikxaramkunish pamuyukukuh.,ikxaramkunish pamuyukukuh
karuk-2012-03-30-vs-3_10,miyukukuh uum vaa.,miyukukuh uum vaa
karuk-2012-03-30-vs-3_11,pukeechhara.,pukeechhara
karuk-2012-03-30-vs-3_12,pananiyukuku vura uum kaarim umusahitih.,pananiyukuku vura uum kaarim umusahitih
karuk-2012-03-30-vs-3_13,chivchakarapiimich.,chivchakarapiimich
karuk-2012-03-30-vs-3_14,mu'ifunih karu uum ipshuunkinich.,muqifunih karu uum ipshuunkinich
karuk-2012-03-30-vs-3_15,ipshuunkinach pamu'ifunih.,ipshuunkinach pamuqifunih
karuk-2012-03-30-vs-3_16,vaaram pamu'ifunih.,vaaram pamuqifunih
karuk-2012-03-30-vs-3_17,ipshuunkinach pamu'ifunih.,ipshuunkinach pamuqifunih
karuk-2012-03-30-vs-3_18,pufaat mu'ifunih.,pufaat muqifunih
karuk-2012-03-30-vs-3_19,panani'avan axvahxuus.,pananiqavan axvahxuus
karuk-2012-03-30-vs-3_20,,
karuk-2012-03-30-vs-3_21,puptaxatiihtihara pami'ifunih.,puptaxatiihtihara pamiqifunih
karuk-2012-03-30-vs-3_22,naa vura uurihaan.,naa vura uurihaan
karuk-2012-03-30-vs-3_23,naa karu.,naa karu
karuk-2012-03-30-vs-3_24,vura puyavhara panani'ifunih.,vura puyavhara pananiqifunih
karuk-2012-03-31-vs-2a_01,pananikustaan uum yaamach.,pananikustaan uum yaamach
karuk-2012-03-31-vs-2a_02,pananikustaan uum yaamachheesh.,pananikustaan uum yaamachheesh
karuk-2012-03-31-vs-2a_03,pananikustaan uum yaamach payeem.,pananikustaan uum yaamach payeem
karuk-2012-03-31-vs-2a_04,pananikustaan vura mit uum yaamach.,pananikustaan vura mit uum yaamach
karuk-2012-03-31-vs-2a_05,pananikustaan uum payeem puyaamachhara.,pananikustaan uum payeem puyaamachhara
karuk-2012-03-31-vs-2a_06,koovura pananikustaan uum yaamachas.,koovura pananikustaan uum yaamachas
karuk-2012-03-31-vs-2a_07,koovura pananikustaan vura yaamachas.,koovura pananikustaan vura yaamachas
karuk-2012-03-31-vs-2a_08,pananikustaan koovura yaamachas.,pananikustaan koovura yaamachas
karuk-2012-03-31-vs-2a_08a,koovura yaamachasheesh.,koovura yaamachasheesh
karuk-2012-03-31-vs-2a_09,pananikustaansa vura yaamachas payeem.,pananikustaansa vura yaamachas payeem
karuk-2012-03-31-vs-2a_10,vura mit yaamachas.,vura mit yaamachas
karuk-2012-03-31-vs-2a_11,pananikustaansa vura mit uum yaamachas.,pananikustaansa vura mit uum yaamachas
karuk-2012-03-31-vs-2b_01,naa vura puxich neetniivka.,naa vura puxich neetniivka
karuk-2012-03-31-vs-2b_02,,
karuk-2012-03-31-vs-2b_03,naa vura puxich neetniivkatih.,naa vura puxich neetniivkatih
karuk-2012-03-31-vs-2b_04,,
karuk-2012-03-31-vs-2b_05,nixapkoovish.,nixapkoovish
karuk-2012-03-31-vs-2b_06,,
karuk-2012-03-31-vs-2b_07,iim vura puxich itniivka.,iim vura puxich itniivka
karuk-2012-03-31-vs-2b_08,uum vura puxich itniivka.,uum vura puxich itniivka
karuk-2012-03-31-vs-2b_09,uum vura puxich kunixviiphinaatih.,uum vura puxich kunixviiphinaatih
karuk-2012-03-31-vs-2b_10,vura puxich yav kunikyaatih.,vura puxich yav kunikyaatih
karuk-2012-03-31-vs-2b_11-12,vura uum taay mu'ishkiit.,vura uum taay muqishkiit
karuk-2012-03-31-vs-2b_11,,
karuk-2012-03-31-vs-2b_12,,
karuk-2012-03-31-vs-2b_13,taay vura mu'uup.,taay vura muquup
karuk-2012-03-31-vs-2b_14-15,"uum vura yav, vaa kuma'ii.",uum vura yav vaa kumaqii
karuk-2012-03-31-vs-2b_14,,
karuk-2012-03-31-vs-2b_15,,
karuk-2012-03-31-vs-2b_16,uum vurava yav vaa kuma'ii.,uum vurava yav vaa kumaqii
karuk-2012-03-31-vs-2b_17,naa vura ishimfir.,naa vura ishimfir
karuk-2012-03-31-vs-2c_01,iim karu.,iim karu
karuk-2012-03-31-vs-2c_02,iim karu ishimfir.,iim karu ishimfir
karuk-2012-03-31-vs-2c_03,naa vura ishimfir iim karu ishimfir.,naa vura ishimfir iim karu ishimfir
karuk-2012-03-31-vs-2c_04,uum vaa ishimfir.,uum vaa ishimfir
karuk-2012-03-31-vs-2c_05,naa vura ikpihan.,naa vura ikpihan
karuk-2012-03-31-vs-2c_06,iim karu ishimfir.,iim karu ishimfir
karuk-2012-03-31-vs-2c_07,iim karu ikpihan.,iim karu ikpihan
karuk-2012-03-31-vs-2c_08,naa aas kich.,naa aas kich
karuk-2012-03-31-vs-2c_09,ta napivaxrah.,ta napivaxrah
karuk-2012-03-31-vs-2c_10,iim karu tipivaxrah.,iim karu tipivaxrah
karuk-2012-03-31-vs-2c_11,uum ithvoon.,uum ithvoon
karuk-2012-03-31-vs-2c_12,nuu ithvoon.,nuu ithvoon
karuk-2012-03-31-vs-2c_13,uumkun ithvoon.,uumkun ithvoon
karuk-2012-03-31-vs-2c_14,koovura ithvoon payeem.,koovura ithvoon payeem
karuk-2012-03-31-vs-2c_15,nuu koovura ithvoon payeem.,nuu koovura ithvoon payeem
karuk-2012-03-31-vs-2c_16,ta neemchax.,ta neemchax
karuk-2012-03-31-vs-2c_17,naa ta neemchax.,naa ta neemchax
karuk-2010-05-01-arg-edited-2_01,tee xviipha hum?,tee xviipha hum
karuk-2010-05-01-arg-edited-2_02,tee kviit-ha hum?,tee kviitha hum
karuk-2010-05-01-arg-edited-2_03,akaay vaa too kuupha?,akaay vaa too kuupha
karuk-2010-05-01-arg-edited-2_04,huut pamithvuy?,huut pamithvuy
karuk-2010-05-01-arg-edited-2_05,"faat ixutih"" kiri ni'av""?",faat ixutih kiri niqav
karuk-2010-05-01-arg-edited-2_06,peeshkeesh huut kich?,peeshkeesh huut kich
karuk-2010-05-01-arg-edited-2_07,akaay pami'araaras?,akaay pamiqaraaras
karuk-2010-05-01-arg-edited-2_08,upathriheesh hum?,upathriheesh hum
karuk-2010-05-01-arg-edited-2_09,chi upathriheesh.,chi upathriheesh
karuk-2010-05-01-arg-edited-2_10,huut kich iim?,huut kich iim
karuk-2010-05-01-arg-edited-2_11,huut kich uum Phil?,huut kich uum Phil
karuk-2010-05-01-arg-edited-2_12,,
karuk-2010-05-01-arg-edited-2_13,ishaha ta kuxrah?,ishaha ta kuxrah
karuk-2010-05-01-arg-edited-2_14,koovura tithafip pa'av.,koovura tithafip paqav
karuk-2010-05-01-arg-edited-2_15,vaa muxuun.,vaa muxuun
karuk-2010-05-01-arg-edited-2_16,vaa uum xuntapan.,vaa uum xuntapan
karuk-2010-05-01-arg-edited-2_17,pay uum panani'av hum?,pay uum pananiqav hum
karuk-2010-05-01-arg-edited-2_18,pafipi.,pafipi
karuk-2010-05-01-arg-edited-2_19,sara amayav.,sara amayav
karuk-2010-05-01-arg-edited-2_20,amayav pasara.,amayav pasara
karuk-2010-05-01-arg-edited-2_21,pamusara uum amayav.,pamusara uum amayav
karuk-2010-05-01-arg-edited-2_22,hooy pamichnaat?,hooy pamichnaat
karuk-2010-05-01-arg-edited-2_23,akvaat hum ivishtaantih?,akvaat hum ivishtaantih
karuk-2010-05-01-arg-edited-2_24,huut kuma'ii?,huut kumaqii
karuk-2010-05-01-arg-edited-2_25,hooy pamu'apsuun?,hooy pamuqapsuun
karuk-2010-05-01-arg-edited-2_26,yaxa pamu'apxaan.,yaxa pamuqapxaan
karuk-2010-05-01-arg-edited-2_27,pamu'apsiih xaapki!,pamuqapsiih xaapki
karuk-2010-05-01-arg-edited-2_28,,
karuk-2010-05-01-arg-edited-2_29,panani'apsiih too kuha.,pananiqapsiih too kuha
karuk-2010-05-01-arg-edited-2_30,huut tu'iin pami'apsiih?,huut tuqiin pamiqapsiih
karuk-2010-05-01-arg-edited-2_31,ta navishtar.,ta navishtar
karuk-2010-05-01-arg-edited-2_32,uum huut amayav.,uum huut amayav
