audio,transcription,transcription_mfa,speaker
karuk-2012-10-20-vs-4_A_12,Orleans ni'aramsiiprivtih.,Orleans niqaramsiiprivtih,VS
karuk-2012-10-20-vs-4_A_13,panamniik ni'aramsiiprivtih.,panamniik niqaramsiiprivtih,VS
karuk-2012-10-20-vs-4_A_14,huut kich peempaah?,huut kich peempaah,VS
karuk-2012-10-20-vs-4_A_15,huut kich peeshkeesh?,huut kich peeshkeesh,VS
karuk-2012-10-20-vs-4_A_16,yav umusahiti pa'ishkeesh.,yav umusahiti paqishkeesh,VS
karuk-2012-10-20-vs-4_A_17,peeshkeesh yav umusahitih.,peeshkeesh yav umusahitih,VS
karuk-2012-10-20-vs-4_A_18,peeshkeesh vura yav umusahitih.,peeshkeesh vura yav umusahitih,VS
karuk-2012-10-20-vs-4_A_19,axvithirar peeshkeesh.,axvithirar peeshkeesh,VS
karuk-2012-10-20-vs-4_A_20,peeshkeesh tu'uh.,peeshkeesh tuquh,VS
karuk-2012-10-20-vs-4_A_21,peeshkeesh tupivaxrah.,peeshkeesh tupivaxrah,VS
karuk-2012-10-20-vs-4_A_22,chi upathriheesh hum?,chi upathriheesh hum,VS
karuk-2012-10-20-vs-4_A_23,kunish chi upathriheesh.,kunish chi upathriheesh,VS
karuk-2012-10-20-vs-4_A_24,chi nivaarameesh.,chi nivaarameesh,VS
karuk-2012-10-20-vs-4_A_25,chimi nivaarameesh.,chimi nivaarameesh,VS
karuk-2012-10-20-vs-4_A_26,imaan kunish upathriheesh.,imaan kunish upathriheesh,VS
karuk-2012-10-20-vs-4_A_27,kunish upathriheesh.,kunish upathriheesh,VS
karuk-2012-10-20-vs-4_A_28,kumateech uum kunish umchaxeesh.,kumateech uum kunish umchaxeesh,VS
karuk-2012-10-20-vs-4_A_29,kumateech uum umchaxeesh.,kumateech uum umchaxeesh,VS
karuk-2012-10-20-vs-4_A_30,kumateechvanihich umchaxeesh.,kumateechvanihich umchaxeesh,VS
karuk-2012-10-20-vs-4_A_31,faat iimkun kukupaveenahitih?,faat iimkun kukupaveenahitih,VS
karuk-2012-10-20-vs-4_A_32,faat iimkun kukupaveenatih?,faat iimkun kukupaveenatih,VS
karuk-2012-10-20-vs-4_A_33,iim faat ikupaveenatih?,iim faat ikupaveenatih,VS
karuk-2012-10-20-vs-4_A_34,purafaat.,purafaat,VS
karuk-2012-10-20-vs-4_A_35,purafaat vura.,purafaat vura,VS
karuk-2012-10-20-vs-4_A_36,purafaat vura nikupaveenatih.,purafaat vura nikupaveenatih,VS
karuk-2012-10-20-vs-4_A_37,huut ipitih?,huut ipitih,VS
karuk-2012-10-20-vs-4_A_38,huut tee piip?,huut tee piip,VS
karuk-2012-10-20-vs-4_A_39,huut ikupaveenatih?,huut ikupaveenatih,VS
karuk-2012-10-20-vs-4_A_40,faat i'aapunmutih?,faat iqaapunmutih,VS
karuk-2012-10-20-vs-4_A_41,huut mithvuy?,huut mithvuy,VS
karuk-2012-10-20-vs-4_A_42,huut ithvuuytih?,huut ithvuuytih,VS
karuk-2012-10-20-vs-4_A_43,nanithvuy uum Vina.,nanithvuy uum Vina,VS
karuk-2012-10-20-vs-4_A_44,Vina nithvuuytih.,Vina nithvuuytih,VS
karuk-2012-10-20-vs-4_A_45,pusihich ithvuuyti hum?,pusihich ithvuuyti hum,VS
karuk-2012-10-20-vs-4_A_46,akaay iim mi'araaras?,akaay iim miqaraaras,VS
karuk-2012-10-20-vs-4_A_47,akaay mi'araaras?,akaay miqaraaras,VS
karuk-2012-10-20-vs-4_A_48,huut kich pamitaat?,huut kich pamitaat,VS
karuk-2012-10-20-vs-4_A_49,huut kich pami'akah?,huut kich pamiqakah,VS
karuk-2012-10-20-vs-4_A_50,hooy tivaaram?,hooy tivaaram,VS
karuk-2012-10-20-vs-4_B_01,yav uum imnishaan um?,yav uum imnishaan um,VS
karuk-2012-10-20-vs-4_B_02,faat poomniishtih?,faat poomniishtih,VS
karuk-2012-10-20-vs-4_B_03,hooy ivaarameesh?,hooy ivaarameesh,VS
karuk-2012-10-20-vs-4_B_04,hooyva vura panivaarameesh.,hooyva vura panivaarameesh,VS
karuk-2012-10-20-vs-4_B_05,fataak nivaarameesh.,fataak nivaarameesh,VS
karuk-2012-10-20-vs-4_B_06,Orleans nivaarameesh.,Orleans nivaarameesh,VS
karuk-2012-10-20-vs-4_B_07,ifyaa tu'uum?,ifyaa tuquum,VS
karuk-2012-10-20-vs-4_B_08,suva nik nupmaheesh.,suva nik nupmaheesh,VS
karuk-2012-10-20-vs-4_B_09,kumateechvanihich nik nupmaheesh.,kumateechvanihich nik nupmaheesh,VS
karuk-2012-10-20-vs-4_B_10,chimi kuyaapkuh.,chimi kuyaapkuh,VS
karuk-2012-10-20-vs-4_B_11,chimi.,chimi,VS
karuk-2012-10-20-vs-4_B_12,haa.,haa,VS
karuk-2012-10-20-vs-4_B_13,puuhara.,puuhara,VS
karuk-2012-10-20-vs-4_B_14,ikiich.,ikiich,VS
karuk-2012-10-20-vs-4_B_15,yootva.,yootva,VS
karuk-2012-10-20-vs-4_B_16,vaa vura yav.,vaa vura yav,VS
karuk-2012-10-20-vs-4_B_17,yav.,yav,VS
karuk-2012-10-20-vs-4_B_18,chimi man ta nipvaaram.,chimi man ta nipvaaram,VS
karuk-2012-10-20-vs-4_B_19,atafaat.,atafaat,VS
karuk-2012-10-20-vs-4_B_20,ikiich panamniik nivaarameesh.,ikiich panamniik nivaarameesh,VS
karuk-2012-10-20-vs-4_B_21,huun ata.,huun ata,VS
karuk-2012-10-20-vs-4_B_22,imaan nupmaheesh.,imaan nupmaheesh,VS
karuk-2012-10-20-vs-4_B_23,suvanik imaan.,suvanik imaan,VS
karuk-2012-10-20-vs-4_B_24,tithitiv um?,tithitiv um,VS
karuk-2012-10-20-vs-4_B_25,ti'aapunma hum?,tiqaapunma hum,VS
karuk-2012-10-20-vs-4_B_26,i'aapunmuti hum vura nik?,iqaapunmuti hum vura nik,VS
karuk-2012-10-20-vs-4_B_27,naa ni'aapunmutih.,naa niqaapunmutih,VS
karuk-2012-10-20-vs-4_B_28,ni'aapunmuti vura.,niqaapunmuti vura,VS
karuk-2012-10-20-vs-4_B_29,puna'aapunmutihara.,punaqaapunmutihara,VS
karuk-2012-10-20-vs-4_B_30,man'ata.,manqata,VS
karuk-2012-10-20-vs-4_B_31,kukuum nipeesh.,kukuum nipeesh,VS
karuk-2012-10-20-vs-4_B_32,pay kich kukuum nipeesh.,pay kich kukuum nipeesh,VS
karuk-2012-10-20-vs-4_B_33,kukuum piipi.,kukuum piipi,VS
karuk-2012-10-20-vs-4_B_34,pay kich piipi.,pay kich piipi,VS
karuk-2012-10-20-vs-4_B_35,tipipshiinvarihva hum?,tipipshiinvarihva hum,VS
karuk-2012-10-20-vs-4_B_36,huut iim mithvuy?,huut iim mithvuy,VS
karuk-2012-10-20-vs-4_B_37,huut iim ithvuuytih?,huut iim ithvuuytih,VS
karuk-2012-10-20-vs-4_B_38,kacha'iich vura chuuphi.,kachaqiich vura chuuphi,VS
karuk-2012-10-20-vs-4_C_01,chaka'iimich vura chuuphi.,chakaqiimich vura chuuphi,VS
karuk-2012-10-20-vs-4_C_02,puun nivishtaantih.,puun nivishtaantih,VS
karuk-2012-10-20-vs-4_C_03,ikiich tee xuriha.,ikiich tee xuriha,VS
karuk-2012-10-20-vs-4_C_04,faat iim i'aveesh?,faat iim iqaveesh,VS
karuk-2012-10-20-vs-4_C_05,naa sara ni'aveesh.,naa sara niqaveesh,VS
karuk-2012-10-20-vs-4_C_06,putiruh karu ni'aveesh.,putiruh karu niqaveesh,VS
karuk-2012-10-20-vs-4_C_07,koovura vura miputiruh nithafipeesh.,koovura vura miputiruh nithafipeesh,VS
karuk-2012-10-20-vs-4_C_08,faat koovura panu'aveesh?,faat koovura panuqaveesh,VS
karuk-2012-10-20-vs-4_C_09,faat koovura nu'aveesh?,faat koovura nuqaveesh,VS
karuk-2012-10-20-vs-4_C_10,faat nu'aveesh?,faat nuqaveesh,VS
karuk-2012-10-20-vs-4_C_11,taak payufish.,taak payufish,VS
karuk-2012-10-20-vs-4_C_12,taak pasikih.,taak pasikih,VS
karuk-2012-10-20-vs-4_C_13,pasikih na'eehi.,pasikih naqeehi,VS
karuk-2012-10-20-vs-4_C_14,neektavihi.,neektavihi,VS
karuk-2012-10-20-vs-4_C_15,ta naxuriha.,ta naxuriha,VS
karuk-2012-10-20-vs-4_C_16,punaxurihitihara.,punaxurihitihara,VS
karuk-2012-10-20-vs-4_C_17,ishaha ta neexrah.,ishaha ta neexrah,VS
karuk-2012-10-20-vs-4_C_18,iim tee xrah?,iim tee xrah,VS
karuk-2012-10-20-vs-4_C_19,iimkun ta kuxrah?,iimkun ta kuxrah,VS
karuk-2012-10-20-vs-4_C_20,naa vura ta nayaavaha.,naa vura ta nayaavaha,VS
karuk-2012-10-20-vs-4_C_21,ta neekvurishrih.,ta neekvurishrih,VS
karuk-2012-10-20-vs-4_C_22,ta neekfuuyshur.,ta neekfuuyshur,VS
karuk-2012-10-20-vs-4_C_23,faat uum pay?,faat uum pay,VS
karuk-2012-10-20-vs-4_C_24,faat uum vaa?,faat uum vaa,VS
karuk-2012-10-20-vs-4_C_25,faat kook?,faat kook,VS
karuk-2012-10-20-vs-4_C_26,cheemyaach.,cheemyaach,VS
karuk-2012-10-20-vs-4_C_27,ni'ahoovish.,niqahoovish,VS
karuk-2012-10-20-vs-4_C_28,ook naa.,ook naa,VS
karuk-2012-10-20-vs-4_C_29,chimi choora.,chimi choora,VS
karuk-2012-10-20-vs-4_C_30,choora.,choora,VS
karuk-2012-10-20-vs-4_C_31,koovura nuvyiihshipreevish.,koovura nuvyiihshipreevish,VS
karuk-2012-10-20-vs-4_C_32,nukookaneesh.,nukookaneesh,VS
karuk-2012-10-20-vs-4_C_33,chuvaarap.,chuvaarap,VS
karuk-2012-10-20-vs-4_C_34,xayfaat ichuuphitih!,xayfaat ichuuphitih,VS
karuk-2012-10-20-vs-4_C_35,xayfaat kuchuuphinaatih!,xayfaat kuchuuphinaatih,VS
karuk-2012-10-20-vs-4_C_36,xayfaat taay ik papay i'iinatih!,xayfaat taay ik papay iqiinatih,VS
karuk-2012-10-20-vs-4_C_37,ka'iruu!,kaqiruu,VS
karuk-2012-10-20-vs-4_C_38,pay'ook ikriish!,payqook ikriish,VS
karuk-2012-10-20-vs-4_C_39,ihyarihship!,ihyarihship,VS
karuk-2012-10-20-vs-4_C_40,voonfuruk.,voonfuruk,VS
karuk-2012-10-20-vs-4_C_41,chimi kiivyiihfuruk.,chimi kiivyiihfuruk,VS
karuk-2012-10-20-vs-4_C_42,iikam voonupuk.,iikam voonupuk,VS
karuk-2012-10-20-vs-4_C_43,ahup ikyav.,ahup ikyav,VS
karuk-2012-10-20-vs-4_C_44,ahup kiikyav.,ahup kiikyav,VS
karuk-2012-10-20-vs-4_C_45,ahup kiikyaavunaa.,ahup kiikyaavunaa,VS
karuk-2012-10-20-vs-4_C_46,niyuuhveesh.,niyuuhveesh,VS
karuk-2012-10-20-vs-4_C_47,iim karu.,iim karu,VS
karuk-2012-10-20-vs-4_C_48,iimkun karu.,iimkun karu,VS
karuk-2012-10-20-vs-4_D_01,,,
karuk-2012-10-20-vs-4_D_02,mah'iitnihich.,mahqiitnihich,VS
karuk-2012-10-20-vs-4_D_03,payeem uum mah'iitnihich.,payeem uum mahqiitnihich,VS
karuk-2012-10-20-vs-4_D_04,,,
karuk-2012-10-20-vs-4_D_05,ta mah'iit.,ta mahqiit,VS
karuk-2012-10-20-vs-4_D_06,chimi ikfuuksip payeem.,chimi ikfuuksip payeem,VS
karuk-2012-10-20-vs-4_D_07,ta kari chimi ikfuuksip.,ta kari chimi ikfuuksip,VS
karuk-2012-10-20-vs-4_D_08,ta kari.,ta kari,VS
karuk-2012-10-20-vs-4_D_09,cheech kiikarihi!,cheech kiikarihi,VS
karuk-2012-10-20-vs-4_D_10,chimi kiikarihi!,chimi kiikarihi,VS
karuk-2012-10-20-vs-4_D_11,iim tee kariha?,iim tee kariha,VS
karuk-2012-10-20-vs-4_D_12,iim tee kariha hum?,iim tee kariha hum,VS
karuk-2012-10-20-vs-4_D_13,titxaarihva hum?,titxaarihva hum,VS
karuk-2012-10-20-vs-4_D_14,tikariha hum?,tikariha hum,VS
karuk-2012-10-20-vs-4_D_15,tusupaaha.,tusupaaha,VS
karuk-2012-10-20-vs-4_D_16,aav paatvi!,aav paatvi,VS
karuk-2012-10-20-vs-4_D_17,chimi koovura aav kiikpaatvi!,chimi koovura aav kiikpaatvi,VS
karuk-2012-10-20-vs-4_D_18,iptaxatihi!,iptaxatihi,VS
karuk-2012-10-20-vs-4_D_19,koovura kiiptaxatihi!,koovura kiiptaxatihi,VS
karuk-2012-10-20-vs-4_D_20,pamivu pithxahi!,pamivu pithxahi,VS
karuk-2012-10-20-vs-4_D_21,koovura pamikunvu kiikpithxahi!,koovura pamikunvu kiikpithxahi,VS
karuk-2012-10-20-vs-4_D_22,ta avahiv.,ta avahiv,VS
karuk-2012-10-20-vs-4_D_23,iimkun ta kuxuriha?,iimkun ta kuxuriha,VS
karuk-2012-10-20-vs-4_D_24,ta kuxuriha hum?,ta kuxuriha hum,VS
karuk-2012-10-20-vs-4_D_25,tee xuriha hum?,tee xuriha hum,VS
karuk-2012-10-20-vs-4_D_26,faat iim i'aveesh?,faat iim iqaveesh,VS
karuk-2012-10-20-vs-4_D_27,faat iimkun ku'aveesh?,faat iimkun kuqaveesh,VS
karuk-2012-10-20-vs-4_D_28,faat uum koovura nu'aveesh?,faat uum koovura nuqaveesh,VS
karuk-2012-10-20-vs-4_D_29,,,
karuk-2012-10-20-vs-4_D_30,faat nu'amvunaavish?,faat nuqamvunaavish,VS
karuk-2012-10-20-vs-4_D_31,chimi nu'am!,chimi nuqam,VS
karuk-2012-10-20-vs-4_D_32,chimi ta avahiv!,chimi ta avahiv,VS
karuk-2012-10-20-vs-4_D_33,taay vura na'akihi!,taay vura naqakihi,VS
karuk-2012-10-20-vs-4_D_34,kukuum taay vura na'akihi!,kukuum taay vura naqakihi,VS
karuk-2012-10-20-vs-4_D_35,tee kvurishrih hum?,tee kvurishrih hum,VS
karuk-2012-10-20-vs-4_D_36,naa vura ta neekvurishrih.,naa vura ta neekvurishrih,VS
karuk-2012-10-20-vs-4_D_37,ipuunveesh hum?,ipuunveesh hum,VS
karuk-2012-10-20-vs-4_D_38,nipuunveesh.,nipuunveesh,VS
karuk-2012-10-20-vs-4_D_39,nipuunveesh vura.,nipuunveesh vura,VS
karuk-2012-10-20-vs-4_D_40,iim karu.,iim karu,VS
karuk-2012-10-20-vs-4_D_41,chimi nupuunvi!,chimi nupuunvi,VS
karuk-2012-10-20-vs-4_D_42,chi nupuunvi!,chi nupuunvi,VS
karuk-2012-10-20-vs-4_D_43,ta neekviit-ha.,ta neekviitha,VS
karuk-2012-10-20-vs-4_D_44,iimkun kiikviit-hinaa!,iimkun kiikviithinaa,VS
karuk-2012-10-20-vs-4_D_45,ipyukukuhi pamiyukukuh!,ipyukukuhi pamiyukukuh,VS
karuk-2012-10-20-vs-4_D_46,kiipyukukuhi!,kiipyukukuhi,VS
karuk-2012-10-20-vs-4_D_47,"kiipyukukuhi pamiyukukuh, Andrew karu Line!",kiipyukukuhi pamiyukukuh Andrew karu Line,VS
karuk-2012-10-20-vs-4_D_48,iimkun kiipiyukukuhsuroo!,iimkun kiipiyukukuhsuroo,VS
karuk-2012-10-20-vs-4_D_49,kiipiyukukuhsuroo!,kiipiyukukuhsuroo,VS
karuk-2012-10-20-vs-4_D_50,kiikpishnakarishukva pamikunsaanva!,kiikpishnakarishukva pamikunsaanva,VS
karuk-2012-10-20-vs-4_D_51,,,
karuk-2012-10-20-vs-4_D_52,kiikviit-hinaa!,kiikviithinaa,VS
karuk-2013-10-27-vs-2_01,uhyanavaraar muuk nuchuupheesh.,uhyanavaraar muuk nuchuupheesh,VS
karuk-2013-10-27-vs-2_02,xayfaat uhyanavaraar muuk nuchuupha!,xayfaat uhyanavaraar muuk nuchuupha,VS
karuk-2013-10-27-vs-2_03,harivari nachuphuunisheesh?,harivari nachuphuunisheesh,VS
karuk-2013-10-27-vs-2_04,ikiich uhyanavaraar muuk nuchuupheesh.,ikiich uhyanavaraar muuk nuchuupheesh,VS
karuk-2013-10-27-vs-2_05,papakiihar karu nikiiheesh.,papakiihar karu nikiiheesh,VS
karuk-2013-10-27-vs-2_06,kiiha pachivchakar!,kiiha pachivchakar,VS
karuk-2013-10-27-vs-2_07,nishxaareesh.,nishxaareesh,VS
karuk-2013-10-27-vs-2_08,xayfaat ishxaar!,xayfaat ishxaar,VS
karuk-2013-10-27-vs-2_09,hooy pamiishxaar?,hooy pamiishxaar,VS
karuk-2013-10-27-vs-2_10,nishxaareesh pananiishxaar.,nishxaareesh pananiishxaar,VS
karuk-2013-10-27-vs-2_11,pananiishxaar nishxaareesh payeem.,pananiishxaar nishxaareesh payeem,VS
karuk-2013-10-27-vs-2_12,peekrupkaanvar nihruuvti pa'as vaa nishxaareesh.,peekrupkaanvar nihruuvti paqas vaa nishxaareesh,VS
karuk-2013-10-27-vs-2_13,nikmarakuriheeshva.,nikmarakuriheeshva,VS
karuk-2013-10-27-vs-2_14,pananisaanva nipithxaheesh.,pananisaanva nipithxaheesh,VS
karuk-2013-10-27-vs-2_15,soap muuk nipithxaheesh.,soap muuk nipithxaheesh,VS
karuk-2013-10-27-vs-2_16,akaay tu'ahoo?,akaay tuqahoo,VS
karuk-2013-10-27-vs-2_17,nitatuyshureesh pa'iirish.,nitatuyshureesh paqiirish,VS
karuk-2013-10-27-vs-2_18,pimustihvaanar nimuustiheesh naa.,pimustihvaanar nimuustiheesh naa,VS
karuk-2013-10-27-vs-2_19,ishahak nimuustiheesh naa.,ishahak nimuustiheesh naa,VS
karuk-2013-10-27-vs-2_20,pa'ishahak nimuustiheesh vaa kaan.,paqishahak nimuustiheesh vaa kaan,VS
karuk-2013-10-27-vs-2_21,pimustihvaanar muuk nimuustiheesh naa.,pimustihvaanar muuk nimuustiheesh naa,VS
karuk-2013-10-27-vs-2_22,pananivuh nipithxaheesh.,pananivuh nipithxaheesh,VS
karuk-2013-10-27-vs-2_23,vuhapithxahar muuk nipithxaheesh pananivuh.,vuhapithxahar muuk nipithxaheesh pananivuh,VS
karuk-2013-10-27-vs-2_24,ahup muuk nipithxaheesh pananivuh.,ahup muuk nipithxaheesh pananivuh,VS
karuk-2013-10-27-vs-2_25,yufish karu ni'ihroovish vaa paninivuh nipithxaheesh.,yufish karu niqihroovish vaa paninivuh nipithxaheesh,VS
karuk-2013-10-27-vs-2_26,yufish ni'ihroovish vaa karu nipithxaheesh pananivuh.,yufish niqihroovish vaa karu nipithxaheesh pananivuh,VS
karuk-2013-10-27-vs-2_27,vaa kaan ni'iripeesh.,vaa kaan niqiripeesh,VS
karuk-2013-10-27-vs-2_28,iikam vaa kaan ni'iripeesh.,iikam vaa kaan niqiripeesh,VS
karuk-2013-10-27-vs-2_29,tanukyaanar muuk ni'iripeesh.,tanukyaanar muuk niqiripeesh,VS
karuk-2013-10-27-vs-2_30,ikrivraam nikyaat.,ikrivraam nikyaat,VS
karuk-2013-10-27-vs-2_31,ahup muuk nikyaat pa'ikrivraam.,ahup muuk nikyaat paqikrivraam,VS
karuk-2013-10-27-vs-2_32,ahup muuk nikyaakoopa patas.,ahup muuk nikyaakoopa patas,VS
karuk-2013-10-27-vs-2_33,ta nipikyaar patas.,ta nipikyaar patas,VS
karuk-2013-10-27-vs-2_34,ta nipikyaar pananichuupha.,ta nipikyaar pananichuupha,VS
karuk-2013-10-27-vs-2_35,ta nipikyaar pananipithxa pananisaanva.,ta nipikyaar pananipithxa pananisaanva,VS
karuk-2013-10-27-vs-2_36,panishxaaytih ta nipikyaar.,panishxaaytih ta nipikyaar,VS
karuk-2015-04-21-vs-5_01,axak pananifyiivshas karu avansa karu muhrooha.,axak pananifyiivshas karu avansa karu muhrooha,VS
karuk-2015-04-21-vs-5_02,xas vaa ta nu'akunvar.,xas vaa ta nuqakunvar,VS
karuk-2015-04-21-vs-5_03,"xas vaa ta nu'akunvar papuufich, impaah.",xas vaa ta nuqakunvar papuufich impaah,VS
karuk-2015-04-21-vs-5_04,xas vaa pa'avansa ukuniihka papuufich.,xas vaa paqavansa ukuniihka papuufich,VS
karuk-2015-04-21-vs-5_05,xas vura yiiv saruk.,xas vura yiiv saruk,VS
karuk-2015-04-21-vs-5_06,"xas uxuti kunish yiim niinamich papuufich, xas poo'uum xas vura uum pufichkaam.",xas uxuti kunish yiim niinamich papuufich xas pooquum xas vura uum pufichkaam,VS
karuk-2015-04-21-vs-5_07,"xas vura uum vaa kaan xas uupiipha vura uum keech papuufich uum, vura uum maath.",xas vura uum vaa kaan xas uupiipha vura uum keech papuufich uum vura uum maath,VS
karuk-2015-04-21-vs-5_08,"xas vura vaa maruk, u'ahoo.",xas vura vaa maruk uqahoo,VS
karuk-2015-04-21-vs-5_09,xas vaa kaan tuvupaksuroo.,xas vaa kaan tuvupaksuroo,VS
karuk-2015-04-21-vs-5_10a,,,VS
karuk-2015-04-21-vs-5_10b,xas vaa kaan tuvupaksur.,xas vaa kaan tuvupaksur,VS
karuk-2015-04-21-vs-5_11,xas vaa vura uum keech karu.,xas vaa vura uum keech karu,VS
karuk-2015-04-21-vs-5_12,uxuti niinamich papuufich karu uum vura yiiv saruk xas.,uxuti niinamich papuufich karu uum vura yiiv saruk xas,VS
karuk-2015-04-21-vs-5_13,vaa vura uum yiiv xas vaa vura uxuti ikiich punakuniihkeeshara xas vura vaa ukuniihka.,vaa vura uum yiiv xas vaa vura uxuti ikiich punakuniihkeeshara xas vura vaa ukuniihka,VS
karuk-2015-04-21-vs-5_14,"xas upiip "" Gotthedeer.""",xas upiip Gotthedeer,VS
karuk-2015-04-21-vs-5_15,xas vura vaa saruk ukfukuraa.,xas vura vaa saruk ukfukuraa,VS
karuk-2015-04-21-vs-5_16,xas vaa ukuniihkat papuufich.,xas vaa ukuniihkat papuufich,VS
karuk-2015-04-21-vs-5_17,"xas upiip, "" vura uum maath."" Heavy.",xas upiip vura uum maath Heavy,VS
karuk-2015-04-21-vs-5_18,"Youknow, xas vaa ip maath poo'ahoo.",Youknow xas vaa ip maath pooqahoo,VS
karuk-2015-04-21-vs-5_19,xas vura vaa keech papuufich.,xas vura vaa keech papuufich,VS
karuk-2015-04-21-vs-5_20,xas upiip chimi kaan vaa saruk ta nivaaram xas vura ni'ipakeesh vaa papuufich.,xas upiip chimi kaan vaa saruk ta nivaaram xas vura niqipakeesh vaa papuufich,VS
karuk-2015-04-21-vs-5_21,,,
karuk-2015-04-21-vs-5_21a, vura uum keech papuufich.,vura uum keech papuufich,VS
karuk-2015-04-21-vs-5_21b,"xas vura maath karu, upiip.",xas vura maath karu upiip,VS
karuk-2015-04-21-vs-5_21c,vaa pa'avansa upiip.,vaa paqavansa upiip,VS
karuk-2015-04-21-vs-5_22,"oo, vura uum taay vura uum pa'asiktavaansa lotsofwomen,youknow,upthereinthereservation.",oo vura uum taay vura uum paqasiktavaansa lotsofwomenyouknowupthereinthereservation,VS
karuk-2015-04-21-vs-5_23,xas vura uum vaa koovura ta kunyootva.,xas vura uum vaa koovura ta kunyootva,VS
karuk-2015-04-21-vs-5_24,papuufich ta kun'aveesh.,papuufich ta kunqaveesh,VS
karuk-2015-04-21-vs-5_25,"vaa vura punapipshinvarihvutihara, vaa vura ni'aapunmuti payeem.",vaa vura punapipshinvarihvutihara vaa vura niqaapunmuti payeem,VS
karuk-2015-04-21-vs-5_26,vaa vura vaa itihaan vura vaa u'akunvuti karu.,vaa vura vaa itihaan vura vaa uqakunvuti karu,VS
karuk-2015-04-21-vs-5_27,taay pamuchishiih karu.,taay pamuchishiih karu,VS
karuk-2015-04-21-vs-5_28,asakaamsa kaan xas vaa a' ta nukfukuraa.,asakaamsa kaan xas vaa aq ta nukfukuraa,VS
karuk-2015-04-21-vs-5_29,"yeah, nusxay, nusxayvunaa.",yeah nusxay nusxayvunaa,VS
VS-23_01,pi'eep nanitaat musara too kyav.,piqeep nanitaat musara too kyav,VS
VS-23_02,vura xara xas vura tu'if.,vura xara xas vura tuqif,VS
VS-23_03,"mah'iit tu'if, xas vura too kyav saraxutnahich.",mahqiit tuqif xas vura too kyav saraxutnahich,VS
VS-23_04,Biscuits karu too kyav.,Biscuits karu too kyav,VS
VS-24_01,vaa pananitaat uum tupithxah pananusaanva koovura vura.,vaa pananitaat uum tupithxah pananusaanva koovura vura,VS
VS-24_02,pananitaat vura koovura upithxah.,pananitaat vura koovura upithxah,VS
VS-24_03,tupithxah pakoovura pananusaanva koovura.,tupithxah pakoovura pananusaanva koovura,VS
VS-24_04,"vaa, xas vura vaa uum vura uum cheemyaach, karu uum vura vaa pu'aapunmutihara faat uum pawashingmachine.",vaa xas vura vaa uum vura uum cheemyaach karu uum vura vaa puqaapunmutihara faat uum pawashingmachine,VS
VS-24_05,vaa kaan tupithxah.,vaa kaan tupithxah,VS
VS-24_06,"haa, haari upathriihti karu.",haa haari upathriihti karu,VS
VS-24_07,xas karu nuu aah nukyaati iikam.,xas karu nuu aah nukyaati iikam,VS
VS-24_08,xas vaa kaan keechas vura paramva pa'ishaha.,xas vaa kaan keechas vura paramva paqishaha,VS
VS-24_09,iparamva pa'ishaha vaa kaan.,iparamva paqishaha vaa kaan,VS
VS-24_10,"oo, vura uum ikyaakaam.",oo vura uum ikyaakaam,VS
VS-24_11,vaa vura ip pa'aapunmuti vaa vura kich vaa kumeekrii.,vaa vura ip paqaapunmuti vaa vura kich vaa kumeekrii,VS
VS-24_12,"haa, vaa vura kich i'aapunmuti vaa kumeekrii.",haa vaa vura kich iqaapunmuti vaa kumeekrii,VS
karuk-2012-03-30-vs-3_01,axak pamupixuumvar.,axak pamupixuumvar,VS
karuk-2012-03-30-vs-3_02,iim pufaat mitikakvanaach.,iim pufaat mitikakvanaach,VS
karuk-2012-03-30-vs-3_03,pufaat uum mi'avan.,pufaat uum miqavan,VS
karuk-2012-03-30-vs-3_04,pufaat mutikakvanaach.,pufaat mutikakvanaach,VS
karuk-2012-03-30-vs-3_05,"Kayla muteenva, yaamachich karu.",Kayla muteenva yaamachich karu,VS
karuk-2012-03-30-vs-3_06,Kayla muteenva karu yaamachich.,Kayla muteenva karu yaamachich,VS
karuk-2012-03-30-vs-3_07,nanifyiiv ukyaat.,nanifyiiv ukyaat,VS
karuk-2012-03-30-vs-3_08,yav pamifyiiv.,yav pamifyiiv,VS
karuk-2012-03-30-vs-3_09,ikxaramkunish pamuyukukuh.,ikxaramkunish pamuyukukuh,VS
karuk-2012-03-30-vs-3_10,miyukukuh uum vaa.,miyukukuh uum vaa,VS
karuk-2012-03-30-vs-3_11,pukeechhara.,pukeechhara,VS
karuk-2012-03-30-vs-3_12,pananiyukuku vura uum kaarim umusahitih.,pananiyukuku vura uum kaarim umusahitih,VS
karuk-2012-03-30-vs-3_13,chivchakarapiimich.,chivchakarapiimich,VS
karuk-2012-03-30-vs-3_14,mu'ifunih karu uum ipshuunkinich.,muqifunih karu uum ipshuunkinich,VS
karuk-2012-03-30-vs-3_15,ipshuunkinach pamu'ifunih.,ipshuunkinach pamuqifunih,VS
karuk-2012-03-30-vs-3_16,vaaram pamu'ifunih.,vaaram pamuqifunih,VS
karuk-2012-03-30-vs-3_17,ipshuunkinach pamu'ifunih.,ipshuunkinach pamuqifunih,VS
karuk-2012-03-30-vs-3_18,pufaat mu'ifunih.,pufaat muqifunih,VS
karuk-2012-03-30-vs-3_19,panani'avan axvahxuus.,pananiqavan axvahxuus,VS
karuk-2012-03-30-vs-3_20,,,
